,autosamples,automin,automean,automax,factor
0,400,20.037423458462563,22.1330973502733,24.010080382145276,40
1,800,33.94395229641261,37.4243730509152,43.84096044306602,40
2,1200,44.05707515692873,49.344322759205625,58.38393318642342,40
3,1600,54.99154134614391,60.319260171456385,69.76478927447698,40
4,2000,62.011065345572135,68.412201450727,78.45255593841354,40
5,2400,69.89627186053667,74.81100207034984,84.28416884793789,40
6,2800,75.21194860439583,79.69155068224018,85.41813280807035,40
7,3200,73.30470432189755,83.67968104642303,93.42973678669308,40
8,3600,74.2172307446267,87.41291951055877,98.28415212622829,40
9,4000,75.59185139855572,90.02671132547748,103.09829883251084,40
10,4400,78.65948852918115,92.86310452099238,104.53090848075539,40
11,4800,80.32954006590889,94.44114669268897,106.7465638225096,40
12,5200,84.14896819570166,96.97950577895818,108.17168196901578,40
13,5600,87.15676020470569,99.54294457283977,111.47574065568648,40
14,6000,89.59500196200733,101.43368637466496,113.07394441505224,40
15,6400,89.59366990025981,102.81596164215038,114.54948842800931,40
16,6800,90.01644880350106,103.71616603569655,115.07445637350891,40
17,7200,92.27704946074891,104.74655448672536,114.55140713997552,40
18,7600,95.77173061030089,105.72218091297673,113.63380604721756,40
19,8000,98.18981632668023,107.24034510427336,114.7352141938189,40
20,8400,99.77885309295628,108.09544458125104,115.71115040417843,40
21,8800,100.9930635306776,108.76920457616703,117.24519448821533,40
