time,mnvel,errvel,tel
2458917.062266,4.81896579205733,1.78331661224365,j
2458918.065803,9.021002617581882,1.6586130857467698,j
2458919.0551130003,0.5978100873301729,1.5287688970565803,j
2458995.875846,6.041748600233049,1.92692041397095,j
2458999.89268,15.8274974132739,1.7215576171875,j
2459002.9282319997,3.45156975334068,1.6036581993103,j
2459003.891345,0.801990742772418,1.5573041439056399,j
2459006.884143,-3.66695301069987,1.6047536134719802,j
2459013.873249,-3.04683394772115,1.65707266330719,j
2459016.8749169996,-3.9573730774847697,1.8213818073272698,j
2459024.869275,-1.9086625955761103,1.5722006559371902,j
2459027.838365,-2.95616404635347,1.39216005802155,j
2459030.892874,3.19033347004184,1.6261529922485398,j
2459034.855732,6.24618145420683,1.5877560377121,j
2459036.791989,4.96907650011347,1.45680022239685,j
2459038.840457,0.41625543459435904,1.57351410388947,j
2459069.0098490003,5.4606849698064,2.5621485710144,j
2459071.93664,5.96621785491322,1.76794254779816,j
2459072.8799610003,7.477506632283861,1.74737346172333,j
2459077.8834430003,11.607455091195,1.67352759838104,j
2459086.874789,-8.9491069098712,2.27246332168579,j
2459089.875434,0.782779497457727,1.6086810827255202,j
2459090.807659,0.0244611243226104,1.62797820568085,j
2459091.810371,-10.1942868111146,1.6719833612441999,j
2459092.804622,-6.706710164752071,1.6066194772720301,j
2459094.790325,3.1507205878419704,1.79870057106018,j
2459097.8740310003,-3.73117066857889,1.83711218833923,j
2459101.773392,0.796786108515416,1.6114583015441901,j
2459114.751541,-2.73164349192654,1.62481784820557,j
2459115.78545,0.730130165790953,1.5619323253631598,j
2459117.753766,-1.5117867592207899,1.57438468933105,j
2459118.7696889997,2.02099615472601,1.57780802249908,j
2459119.762025,-2.98676777419828,1.96713864803314,j
2459120.737925,-0.064449974150957,1.70858180522919,j
2459121.7299720002,-13.879116607011499,1.7623829841613798,j
2459122.745028,-7.781151386366731,1.58425295352936,j
2459123.734655,0.209932645166955,1.5745674371719398,j
2459153.71066,8.06931581409955,1.68326210975647,j
2459269.135566,-12.2962523089508,1.7337973117828402,j
2459296.1009759996,6.81308328165238,1.56960105895996,j
2459297.047785,3.19275090590065,1.64636886119843,j
2459300.006093,-4.142947389390759,1.97265803813934,j
2459314.078296,-1.22480529525969,1.4293619394302401,j
2459353.860006,6.315443055156009,1.69139111042023,j
2459354.943893,6.5816227921603,1.6720720529556299,j
2459358.910969,-9.47568696932201,1.7019748687744098,j
2459361.9457099997,8.18575387702996,1.46238565444946,j
2459373.819066,6.75387343801837,1.6972249746322599,j
2459377.071527,-5.14573229155275,1.57301771640778,j
2459377.8308,5.3209211178592195,1.6439533233642598,j
2459378.890869,5.45234310133286,1.47330439090729,j
2459379.907292,-6.20662608108908,1.63826060295105,j
2459383.015104,1.0272260055701998,1.6519786119461102,j
2459383.982744,2.97577548977477,1.61589825153351,j
2459385.837446,-8.43219394433287,1.6032295227050801,j
2459388.053059,-3.6714917319604905,1.6597590446472201,j
2459388.902379,-9.814717623913731,1.62713134288788,j
2459389.8760849996,-12.8185928483126,1.56096863746643,j
2459395.9320900002,-4.64959340542791,1.54224789142609,j
2459399.863953,-9.43175553197832,1.7097383737564098,j
2459404.9747450002,-2.2057652306813504,1.4312621355056798,j
2459406.885945,-9.53751609395345,1.65354251861572,j
2459407.920302,-0.77780451097515,1.82012486457825,j
2459408.9687779997,4.710685139294781,1.59145033359528,j
2459409.9706349997,-1.76898892257759,1.75344717502594,j
2459412.968705,3.73815415642635,1.5530792474746697,j
2459413.976338,5.1618184501863,2.2328438758850098,j
2459414.985267,4.66835851915097,2.62279605865479,j
2459435.78273,3.2299047514495896,1.6311787366867099,j
2459441.899104,3.05737817527948,1.62088441848755,j
2459444.931223,6.1405175870964595,1.61401844024658,j
2459448.867838,11.0164876881958,1.90992748737335,j
2459449.808129,7.48834287127314,1.62637388706207,j
2459450.825377,1.07967538980421,1.7583236694335902,j
2459451.871131,9.33792372673794,1.6348005533218402,j
2459452.8132639998,6.748014264501309,1.56797051429749,j
2459455.797555,7.1807202135985895,1.5364990234375,j
2459456.827037,3.55859230479382,1.67885863780975,j
2459469.787068,-6.0757418886720505,1.62023878097534,j
2459470.782907,-5.30593838012363,1.6504445075988798,j
2459472.768141,-3.78513986065632,1.64557564258575,j
2459475.7760220002,-17.851741897021398,1.82463657855988,j
2459476.7713409998,-10.7486113358779,1.6345008611679097,j
2459478.799935,0.7696160665564871,1.7801324129104599,j
2459482.7844700003,-2.37040742122013,1.59577703475952,j
2459483.77971,0.8766134961403221,1.7011531591415399,j
2459484.762254,-1.0073527064994598,1.63092589378357,j
2459489.775451,-3.59480810366521,1.7463903427124,j
2459497.722342,-5.5015253763876295,2.11557078361511,j
2459498.741797,-4.99468948773607,1.9570219516754197,j
2459502.775559,5.13503407551045,1.77735102176666,j
2459503.769368,4.88562327608177,1.8209524154663101,j
2459504.774067,-12.104509949772101,1.84898245334625,j
2459506.725006,-3.0372144682479703,1.85737121105194,j
2459508.7248110003,3.9522698036815695,1.72758269309998,j
2459513.743706,1.5762828352419298,1.7085075378418002,j
2459516.7123439997,3.3559617963173105,1.80998122692108,j
2459622.127076,-0.549634733834574,1.8306261301040603,j
2459626.126462,-1.27068017368596,1.7440613508224498,j
